YEAR,Team1,Team2,Seed1,Seed2,game_date,round_num
2026,NC State,Texas,11,11,2026-03-17,64
2026,Howard,UMBC,16,16,2026-03-17,64
2026,Lehigh,Prairie View A&M,16,16,2026-03-18,64
2026,SMU,Miami (OH),11,11,2026-03-18,64
2026,Ohio St.,TCU,8,9,2026-03-19,64
2026,Nebraska,Troy,4,13,2026-03-19,64
2026,Louisville,South Florida,6,11,2026-03-19,64
2026,Wisconsin,High Point,5,12,2026-03-19,64
2026,Duke,Siena,1,16,2026-03-19,64
2026,Vanderbilt,McNeese,5,12,2026-03-19,64
2026,Michigan St.,North Dakota St.,3,14,2026-03-19,64
2026,Arkansas,Hawai'i,4,13,2026-03-19,64
2026,North Carolina,VCU,6,11,2026-03-19,64
2026,Michigan,Howard,1,16,2026-03-19,64
2026,BYU,Texas,6,11,2026-03-19,64
2026,Saint Mary's,Texas A&M,7,10,2026-03-19,64
2026,Illinois,Pennsylvania,3,14,2026-03-19,64
2026,Georgia,Saint Louis,8,9,2026-03-19,64
2026,Gonzaga,Kennesaw State,3,14,2026-03-19,64
2026,Houston,Idaho,2,15,2026-03-19,64
2026,Kentucky,Santa Clara,7,10,2026-03-20,64
2026,Texas Tech,Akron,5,12,2026-03-20,64
2026,Arizona,Long Island University,1,16,2026-03-20,64
2026,Virginia,Wright State,3,14,2026-03-20,64
2026,Iowa St.,Tennessee State,2,15,2026-03-20,64
2026,Alabama,Hofstra,4,13,2026-03-20,64
2026,Villanova,Utah State,8,9,2026-03-20,64
2026,Tennessee,TBD,6,99,2026-03-20,64
2026,Clemson,Iowa,8,9,2026-03-20,64
2026,St. John's,Northern Iowa,5,12,2026-03-20,64
2026,UCLA,UCF,7,10,2026-03-20,64
2026,Purdue,Queens University,2,15,2026-03-20,64
2026,Florida,TBD,1,99,2026-03-20,32
2026,Kansas,California Baptist,4,13,2026-03-20,32
2026,Connecticut,Furman,2,15,2026-03-20,32
2026,Miami,Missouri,7,10,2026-03-20,32
2026,TBD,TBD,99,99,2026-03-21,32
